Название,Ru,Eng
demoCampaign,Пролог,Prologue
reichCampaign,Кампания Империи,Empire Campaign
leagueCampaign,Кампания Лиги,League Campaign
Demo_01,Первый удар,First Strike
Demo_01_description,Черная армия атакует границы Либерштадта в нескольких направлениях. Капитан Джули и сержант Дина отправляются на разведку.,The Black Empire is attacking the Liberstadt border on several fronts. Captain Julie and Sergeant Deena are going to investigate the situation.
Demo_01_goal,- Уничтожить войска противника,- Destroy enemy units
Demo_01_tutorial1,"Выберите юнита, наведите курсор на пустую синюю клетку для передвижения, либо на противника для атаки, и подтвердите. <Mouse>Курсор <sprite index=72>, подтвердить <sprite index=64>, отменить <sprite index=65>.</Mouse>\nГеймпад: Курсор {gt8}, подтвердить {gt0}, отменить {gt1}.","Select a unit, hover over an empty blue cell to move, or over an enemy to attack, and confirm. <Mouse>Cursor <sprite index=72>, confirm <sprite index=64>, cancel <sprite index=65>.</Mouse>\nGamepad: Cursor {gt8}, confirm {gt0}, cancel {gt1}."
Demo_01_tutorial2,"После того, как все юниты сделали свое действие, завершите ход.<Mouse>Нажмите на кнопку Развернуть меню, затем Следующий ход.</Mouse>\nГеймпад: С помощью {gt2} переключитесь в меню и выберите следующий ход. ","After all units have taken their action, end the turn. <Mouse>Select Expand Menu button, then Next Turn.</Mouse>\nGamepad: Use {gt2} to switch to the menu and select Next Turn."
Demo_01_tutorial_skip,"Вы можете пропускать анимацию битвы. <Mouse>Двойной клик <sprite index=64> на окно битвы.</Mouse>\nГеймпад: двойное нажатие на {gt0}.\nВ настройках вы можете изменить тип и скорость анимации битвы под свой стиль игры, а также отключить обучение и диалоги.","You can skip the battle animation. <Mouse>Double-click <sprite index=64> on the battle window.</Mouse>\nGamepad: Double press {gt0}.\nIn the settings, you can change the type and speed of the battle animation to fit your playstyle, as well as disable tutorials and dialogues."
Demo_02,Старые Горы,Old Mountains
Demo_02_description,"Разведка обнаружила колонну имперских дизелей, движущуюся по горному ущелью. Сержант Дина отправляется на перехват.",Our intelligence detected a convoy of Empire diesels in a mountain canyon. Sergeant Deena moves to intercept it.
Demo_02_tutorial3,"Вы можете посмотреть описание юнита.<Mouse>Наведите курсор на юнита, зажмите <sprite index=64> и нажмите кнопку информация.</Mouse>\nГеймпад: Наведите курсор на юнита и нажмите {gt3}.","You can check the unit description. <Mouse>Hover over the unit, hold <sprite index=64>, and press the Info button.</Mouse>\nGamepad: Hover over the unit and press {gt3}."
Demo_02_tutorial4,"<Mouse>Для приближения или отдаления камеры используйте <sprite index=66>, для перемещения <sprite index=74>.</Mouse>\nГеймпад: Для приближения или отдаления камеры используйте {gt6} и {gt7}, либо зажмите {gt4} и нажимайте {gt8}. Перемещение камеры {gt10}.","<Mouse>To zoom in or out the camera, use <sprite index=66>. For movement use <sprite index=74>.</Mouse>\nGamepad: To zoom in or out, use {gt6} and {gt7}, or hold {gt4} and press {gt8}. Camera movement {gt10}."
Demo_02_goal,- Уничтожить войска противника,- Destroy enemy units
Demo_03,Поступь имперцев,Tread of Imperials
Demo_03_description,Одна из линий обороны сломлена. Дина отправляется спасти попавших в окружение защитников границы.,One of our lines of defense is broken. Deena goes to rescue the surrounded border defenders.
Demo_03_goal,- Уничтожить войска противника,- Destroy enemy units
Demo_03_tutorial_load,"Для погрузки выберите пехоту, направьте ее на клетку грузовика, а затем нажмите Загрузить. Для выгрузки выберите пункт Разгрузить после передвижения грузовика и укажите место высадки. В конце своего хода грузовик снабжает союзников на соседних клетках, даже после разгрузки.","To load, select infantry, move it to the truck tile, and then press Load. To unload, select Unload after moving the truck and specifying the landing point. At the end of its turn, the truck continues to dispense supplies to allies on adjacent tiles, even after unloading."
Demo_03_tutorial_capture,"Пехота может захватывать вражеские и нейтральные здания. Каждое нажатие на захват дает от 1 до 10 очков, в зависимости от количества жизней юнита. Для контроля над зданием наберите 20 очков.","Infantry can capture enemy and neutral buildings. To capture, move a player infantry unit to the building then choose Capture. Each capture attempt gives 1 to 10 points, depending on the unit's health. Accumulate 20 points to control a building."
Demo_03_tutorial_heal,"Если в начале хода юнит находится на клетке захваченного здания, то он восстанавливает 20 ед здоровья. Но при этом также тратятся деньги пропорционально цене юнита.","If a player unit is on a captured building at the beginning of its turn, the unit will receive 20 health points. However, money proportional to the unit's cost is also spent."
Demo_04,Дизельная долина,Diesel Valley
Demo_04_description,Армия Лиги собрала свои силы и готовит наступление на Черную Империю в Дизельной долине.,The League's army has gathered its forces and is preparing to attack the Black Empire in the Diesel Valley.
Demo_04_goal,- Уничтожить войска противника\nлибо\n- Захватить вражеский штаб,- Destroy enemy units\nor\n- Capture the enemy HQ
Demo_04_tutorial5,"Выберите юнита, а затем нужные ему улучшения. Чтобы отменить выбор улучшения повторно нажмите на него. Чтобы сбросить улучшения у текущего юнита нажмите сброс, у всех юнитов сбросить все.\nГеймпад: переключайтесь между юнитами и улучшениями с помощью {gt8}.","Select a unit, and then choose the upgrades for it. To cancel an upgrade selection, select it again. To reset upgrades for the current unit, click Reset, or Reset All to reset upgrades for all units. \nGamepad: Switch between units and upgrades using {gt8}."
Demo_05_tutorial_merge,"Вы можете объединить двух одинаковых юнитов между собой, если у них осталось мало жизней. ",You can merge two identical units if they have low health remaining.
Demo_05,Гора Пелион,Mount Pelion
Demo_05_description,"Джонатан отправляется на гору Пелион в погоню за Фридрихом. Кажется, на вершине горы находится что-то важное.",Jonathan goes to Mount Pelion in pursuit of Friedrich. There seems to be something important at the top of the mountain.
Demo_05_goal,- Добраться до вершины,- Reach the summit
Demo_06,Битва за Либерштадт,Battle for Liberstadt
Demo_06_description,"Имперцы стянули силы на Либерштадт - столицу свободной земли. Джонатан, Джули и Дина готовы к обороне города.","The Empire have brought their forces to Lieberstadt, the capital of the Land of Liberty. Jonathan, Julie and Deena are ready to defend the city."
Demo_06_goal,- Победить босса,- Defeat the boss
Reich_01,Побег из Либерштадта,
Reich_01_description,Черная Империя потерпела сокрушительное поражение в битве за Либерштадт. Марко и Фридрих бегут из города с остатками армии.,
Reich_01_goal,- Добраться до города,
Reich_02,Расколотые острова,
Reich_02_description,,
Reich_02_goal,- Накопить 20 000 ресурсов,
Reich_03,Блицкриг,
Reich_04,Битва под горой Элион,
Reich_05,Механическая бухта,
Reich_06,Скрытый аэродром,
Reich_07,,
Reich_08,"Битва за Либерштадт, часть 2",
League_01,,
League_02,,
League_03,,
League_04,,
League_05,,
